E N U
-5327.01458846948 -1990.74276839463 -22.5307227587913
-5042.14765994673 -1991.04076385524 -22.2997403471974
-4757.2792161294 -1991.32176125275 -24.0814486183111
-4472.41372441305 -1991.58763467019 -21.8758495288358
-4187.54737558981 -1991.8368224503 -20.6829413872593
-3902.68030487487 -1992.06932446628 -20.5027242918614
-3617.81434559342 -1992.28607810178 -18.335198955816
-3332.94714596549 -1992.48583342658 -18.1803644943912
-3048.08040560993 -1992.66952792597 -17.0382215419658
-2763.21355999433 -1992.83684909333 -15.908769896013
-2478.34661062654 -1992.98779692007 -14.7920095631906
-2193.47921582553 -1993.122058768 -14.687940442955
-1908.61240665834 -1993.24057251688 -12.5965628639152
-1623.74566316686 -1993.34302559653 -9.51787667282183
-1338.89875354921 -1993.45912230187 89.5481114221719
-1054.03113864838 -1993.53633424426 116.601414300482
-769.159667346801 -1993.59342062039 131.642026632413
-484.285945661821 -1993.63038101996 134.669948099926
-199.411766804109 -1993.6490914419 131.68517823137
85.46221254427 -1993.65299160561 133.687716462824
370.336659423986 -1993.64208150371 140.677562788562
655.211830831735 -1993.61511025848 148.654717358871
940.087417732172 -1993.57113972301 154.619180295294
1224.96027644615 -1993.50547967686 143.570952604018
1509.82577021378 -1993.41500401372 105.510035504095
1794.69545001141 -1993.31659733611 94.4364252251494
2079.56967089105 -1993.207132161 100.350121919094
2364.44219603639 -1993.07941737291 100.251127559621
2649.30973469087 -1992.93157776738 88.1394432341872
2934.17343524866 -1992.76548966267 70.0150687186635
3219.04105580161 -1992.58646685137 62.8780014847903
3503.91461384987 -1992.39482098653 67.7282406684242
3788.79867628772 -1992.19211333375 89.5657842744654
4073.68340506239 -1991.97240563771 109.390635662939
4358.56171207513 -1991.73257390745 117.202797692547
4643.43417077064 -1991.47355654282 116.0022704378
-5326.5163759054 -1527.11438692618 -22.4023943198953
-5041.67530093994 -1527.41211493473 -23.1714331712939
-4756.83428844334 -1527.69347101862 -23.9531622382926
-4471.99473928063 -1527.95893451782 -22.7475820637998
-4187.15507733657 -1528.20802626049 -21.5546919745817
-3902.31469356848 -1528.44050649534 -21.3744917621932
-3617.47428916378 -1528.65661488721 -21.2069817020861
-3332.63438704332 -1528.85659124338 -20.0521619592935
-3047.79437816924 -1529.0401958125 -18.9100323254289
-2762.95426404494 -1529.20742858609 -17.7805928070724
-2478.11404617822 -1529.35828955496 -16.6638434101477
-2193.27372607497 -1529.49277871121 -15.5597841431615
-1908.43270806184 -1529.61041619561 -16.4684148644808
-1623.59227713557 -1529.71216166937 -15.389735899355
-1338.75279578316 -1529.79873508313 -9.32374733185082
-1053.92299590787 -1529.88381460738 58.7295485402755
-769.082075802285 -1529.9424444857 84.7701566102302
-484.238455411921 -1529.98350270862 105.798074751592
-199.392617550883 -1530.00554913805 115.813302948945
85.454072567395 -1530.01050345579 122.815840832722
370.301154411731 -1529.99812562499 125.805688387654
655.147886685371 -1529.96793569239 122.782845683647
939.994936368457 -1529.92233345484 123.747312406636
1224.83957899321 -1529.85723951339 111.699089286384
1509.67700442864 -1529.76953503265 73.6381774244517
1794.51777321204 -1529.67121785889 59.5645743825924
2079.36574321727 -1529.56276686169 71.4782792509064
2364.21403201178 -1529.43746354233 81.3792936268343
2649.04952243551 -1529.28787191352 58.2676210991092
2933.88891616497 -1529.1250273411 48.1432573647619
3218.74150362025 -1528.95252621215 66.0061993919743
3503.59787103937 -1528.76461112966 87.8564495695033
3788.45440264754 -1528.55960326915 106.694008916967
4073.30814669717 -1528.33654389697 118.518878476225
4358.15748395164 -1528.09519398187 122.331059015
4642.99989049364 -1527.83507511973 116.13055180045
-5326.01813488934 -1063.48566809841 -22.3077818309712
-5041.20449262411 -1063.78360781696 -22.0768426261984
-4756.39007952365 -1064.06501032679 -22.8585920910146
-4471.57712961993 -1064.33037633598 -21.6530310995132
-4186.76210178752 -1064.57887116622 -23.4601583226554
-3901.94845104085 -1064.81132958201 -23.2799750226708
-3617.13534558931 -1065.02758474592 -22.1124808575997
-3332.32213188368 -1065.2274696655 -20.9576756056658
-3047.5083346273 -1065.4108172179 -20.8155591461538
-2762.6949534992 -1065.57796159602 -19.6861317614141
-2477.88146863824 -1065.72873570722 -18.5693933073165
-2193.06788155043 -1065.86313954133 -17.465343791749
-1908.25389517957 -1065.9810058883 -17.3739831615767
-1623.4398987177 -1066.08250190995 -17.2953115073158
-1338.62610310888 -1066.16779483896 -16.2293288645561
-1053.81221129583 -1066.23671746373 -15.1760351813581
-769.006285947433 -1066.30047561995 52.8645681135919
-484.191796285807 -1066.34234472838 87.8924835785906
-199.373467326325 -1066.36399656356 99.9077104273939
85.4457984773867 -1066.36760520989 101.910248241256
370.264836566628 -1066.35367241259 96.9000969488143
655.081992205529 -1066.32102747344 77.8772567488452
939.897745153774 -1066.27234668286 60.8417275072357
1224.71006190076 -1066.20562328295 33.7935096798779
1509.5251617159 -1066.12620896674 28.732602315113
1794.3403694069 -1066.0307587612 25.6590058816798
2079.15725202977 -1065.91994137293 28.5727200600103
2363.97365130683 -1065.79241908535 29.4737452505728
2648.79095604639 -1065.64886061132 32.3620811409889
2933.61585786596 -1065.49160554022 51.2377259377542
3218.45301192798 -1065.32148800989 91.1006778917246
3503.28768472149 -1065.13315982692 119.950940667193
3788.11247754785 -1064.92495142531 127.78851676229
4072.93222827032 -1064.69886879497 126.613405127011
4357.74982296207 -1064.45591466737 122.425605029183
4642.56485906493 -1064.19608941355 115.225116758758
-5325.51986542385 -599.856614384228 -22.2468853359728
-5040.73286856942 -600.154526229128 -22.0159677366376
-4755.94584505775 -600.436069300564 -21.7977379103371
-4471.15879639424 -600.701243596444 -21.5921958586929
-4186.37041410269 -600.949860591521 -23.3993411458021
-3901.58218789964 -601.182108663072 -25.2191743210841
-3616.79525104616 -601.398176489648 -25.0516957039669
-3332.00829506327 -601.597875545637 -24.8969048576548
-3047.22227498573 -601.781394614781 -22.7548020188636
-2762.43519615323 -601.948356179151 -22.6253866757486
-2477.64887800795 -602.099137849034 -20.5086592673881
-2192.86202544013 -602.233456360972 -19.4046195091536
-1908.07507216025 -602.351406125019 -18.3132675041315
-1623.28776569957 -602.452892635651 -18.2346032220584
-1338.50045065415 -602.538010355558 -18.1686267263999
-1053.71329338976 -602.606853803853 -17.1153380368848
-768.926041439569 -602.659328478082 -16.0747371208707
-484.138772056534 -602.695528902643 -14.0468239939908
-199.35453446077 -602.725097960286 90.9684008403885
85.4376442880977 -602.728277235938 89.9709384457862
370.228574983299 -602.713196714164 68.9607881729946
655.017222389686 -602.68136918904 43.9379500871591
939.801874006013 -602.632038710604 6.90242450224412
1224.58954608636 -602.569458996207 2.85421081204074
1509.37709138643 -602.490605027487 -0.206690672083538
1794.16379993918 -602.395193326165 -5.28027982730096
2078.95428191226 -602.284641077859 2.63344258453205
2363.74509598216 -602.157625236756 9.53447700917475
2648.53486382296 -602.013862524735 12.4228237234241
2933.32442606071 -601.853636397708 14.2984825906502
3218.1151580099 -601.677230043846 18.1614532631566
3502.93746846752 -601.489832238437 79.0117270853456
3787.74682543543 -601.283137875199 108.849315532856
4072.54163226052 -601.057526882002 111.674219960662
4357.32986763606 -600.814604159868 104.486438545637
4642.11963501593 -600.555595483321 100.285968724947
-5325.02156751161 -136.227228226082 -22.2197048883265
-5040.26042900042 -136.525090780782 -22.9888085843206
-4755.49935294053 -136.806586005261 -23.7705989346618
-4470.73904031994 -137.071735406377 -23.5650761794611
-4185.97935898559 -137.320539107254 -22.3722402232822
-3901.21834565358 -137.552932486955 -23.1920904235863
-3616.45683497315 -137.768936943898 -25.0246271045389
-3331.69652591835 -137.968617314409 -24.8698507417247
-3046.936199246 -138.151930445574 -24.7277609628189
-2762.17628862384 -138.318898031734 -23.5983578626104
-2477.41627428843 -138.469498423584 -22.4816413114011
-2192.65615774521 -138.603731612022 -21.3776113162471
-1907.89594049934 -138.721597589771 -20.2862678827877
